Александра Экстер 
Александр Амфитеатров 
Александр Бенуа 
Александр Блок 
Александр Родченко 
Александр Вертинский 
Алексей Толстой 
Алексей Крученых 
Алексей Ремизов 
Анатолий Луначарский 
Анатолий Мариенгоф 
Андрей Белый 
Анна Ахматова 
Аристарх Лентулов 
Аркадий Аверченко 
Бенедикт Лившиц 
Борис Анреп 
Борис Кустодиев 
Борис Пастернак 
Борис Савинков 
Демьян Бедный 
Дмитрий Философов 
Дмитрий Мережковский 
Елизавета Кузьмина-Караваева 
Эль Лисицкий 
Евгений Вахтангов 
Евгений Замятин 
Федор Шаляпин 
Федор Сологуб 
Георгий Адамович 
Георгий Иванов 
Игорь Грабарь 
Игорь Северянин 
Илья Эренбург 
Илья Репин 
Иван Билибин 
Иван Бунин 
Иван Шмелев 
Казимир Малевич 
Константин Бальмонт 
Константин Паустовский 
Константин Сомов 
Корней Чуковский 
Кузьма Петров-Водкин 
Леонид Андреев 
Леонид Мясин 
Леонид Собинов 
Лев Бакст 
Лиля Брик 
Любовь Попова 
Максим Горький 
Максимилиан Волошин 
Марина Цветаева 
Марк Шагал 
Михаил Кузмин 
Михаил Булгаков 
Михаил Фокин 
Михаил Гершензон 
Михаил Ларионов 
Михаил Лозинский 
Михаил Пришвин 
Михаил Зощенко 
Надежда Тэффи 
Наталья Гончарова 
Николай Гумилев 
Николай Клюев 
Николай Бердяев 
Николай Пунин 
Николай Рерих 
Осип Брик 
Осип Мандельштам 
Павел Флоренский 
Петр Кончаловский 
Разумник Иванов-Разумник 
Рюрик Ивнев 
Сергей Булгаков 
Сергей Дягилев 
Сергей Эфрон 
Сергей Есенин 
Сергей Эйзенштейн 
Сергей Маковский 
Сергей Прокофьев 
Сергей Рахманинов 
Сергей Судейкин 
Игорь Стравинский 
Татьяна Щепкина-Куперник 
Валентин Катаев 
Валерий Брюсов 
Василий Кандинский 
Василий Каменский 
Василий Розанов 
Велимир Хлебников 
Вера Холодная 
Владимир Гиляровский 
Владимир Короленко 
Владимир Маяковский 
Владимир Набоков 
Владимир Набоков 
Владимир Немирович-Данченко 
Владимир Татлин 
Владислав Ходасевич 
Влас Дорошевич 
Всеволод Мейерхольд 
Вячеслав Иванов 
Юрий Анненков 
Зинаида Гиппиус 
